Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price
2010-04-27,1,24.00,8832.00,368.00,368.00,368.00
2010-05-30,2,235.00,84835.00,361.00,361.00,361.00
2010-05-31,1,490.00,176400.00,360.00,360.00,360.00
2010-06-01,2,135.00,47655.00,353.00,353.00,353.00
2010-06-03,1,74.00,25604.00,346.00,346.00,346.00
2010-06-28,2,296.00,100640.00,340.00,340.00,340.00
2010-07-01,2,59.00,19706.00,334.00,334.00,334.00
2010-07-07,1,366.00,120048.00,328.00,328.00,328.00
2010-07-08,1,32.00,10304.00,322.00,322.00,322.00
2010-07-19,1,34.00,10948.00,322.00,322.00,322.00
2010-08-19,1,23.00,7268.00,316.00,316.00,316.00
2010-08-29,1,50.00,15800.00,316.00,316.00,316.00
2010-09-06,2,49.00,15151.00,310.00,309.00,309.00
2010-10-12,3,150.00,44850.00,303.00,297.00,297.00
2010-10-31,13,643.00,177882.00,292.00,268.00,268.00
2010-11-02,5,333.00,88435.00,270.00,260.00,260.00
2010-11-03,6,3797.00,970945.00,265.00,255.00,265.00
2010-11-04,1,163.00,43195.00,265.00,265.00,265.00
2010-11-09,1,74.00,19240.00,260.00,260.00,260.00
2010-11-18,1,24.00,6120.00,255.00,255.00,255.00
2010-11-21,1,37.00,9250.00,250.00,250.00,250.00
2010-11-23,1,48.00,12000.00,250.00,250.00,250.00
2010-11-24,2,252.00,63000.00,250.00,250.00,250.00
2010-11-25,1,74.00,18500.00,250.00,250.00,250.00
2010-11-30,1,100.00,24500.00,245.00,245.00,245.00
2010-12-06,1,1880.00,460600.00,245.00,245.00,245.00
2010-12-07,1,300.00,73500.00,245.00,245.00,245.00
2010-12-09,4,240.00,55760.00,241.00,229.00,229.00
2010-12-12,2,200.00,44600.00,225.00,221.00,221.00
2010-12-15,1,51.00,11373.00,223.00,223.00,223.00
2010-12-23,13,1470.00,324258.00,223.00,220.00,220.00
2010-12-26,7,812.00,179452.00,221.00,221.00,221.00
2010-12-27,1,74.00,16354.00,221.00,221.00,221.00
2010-12-28,1,74.00,16280.00,220.00,220.00,220.00
2010-12-29,1,81.00,17820.00,220.00,220.00,220.00
2011-02-24,2,300.00,55800.00,188.00,185.00,185.00
2011-03-03,2,40.00,7580.00,191.00,188.00,191.00
2011-03-07,2,20.00,3910.00,197.00,194.00,197.00
2011-03-14,2,28.00,5460.00,195.00,195.00,195.00
2011-03-15,3,322.00,61376.00,192.00,189.00,190.00
2011-03-20,2,748.00,138460.00,187.00,185.00,185.00
2011-03-21,2,30.00,5850.00,197.00,194.00,197.00
2011-03-22,3,659.00,127846.00,194.00,194.00,194.00
2011-03-31,2,30.00,6170.00,207.00,203.00,207.00
2011-04-05,1,121.00,24563.00,203.00,203.00,203.00
2011-04-10,1,10.00,2130.00,213.00,213.00,213.00
2011-04-11,1,10.00,2170.00,217.00,217.00,217.00
2011-04-17,1,10.00,2200.00,220.00,220.00,220.00
2011-04-20,2,30.00,7010.00,235.00,231.00,235.00
2011-04-28,11,1068.00,256316.00,246.00,234.00,234.00
2011-05-03,1,10.00,2450.00,245.00,245.00,245.00
2011-05-04,2,20.00,5090.00,257.00,252.00,252.00
