Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price
2010-04-19,1,826.00,162722.00,197.00,197.00,197.00
2010-04-27,2,20.00,3850.00,194.00,191.00,191.00
2010-04-28,3,30.00,5550.00,188.00,182.00,182.00
2010-04-15,2,20.00,4220.00,213.00,209.00,209.00
2010-05-16,3,30.00,5280.00,179.00,173.00,173.00
2010-05-17,2,20.00,3370.00,170.00,167.00,167.00
2010-08-19,1,22.00,3674.00,167.00,167.00,167.00
2010-08-22,1,75.00,12525.00,167.00,167.00,167.00
2010-08-31,2,92.00,15180.00,165.00,165.00,165.00
2010-09-06,1,10.00,1680.00,168.00,168.00,168.00
2010-09-07,1,10.00,1710.00,171.00,171.00,171.00
2010-09-08,2,20.00,3510.00,177.00,174.00,177.00
2010-09-19,1,10.00,1800.00,180.00,180.00,180.00
2010-09-30,1,32.00,5856.00,183.00,183.00,183.00
2010-11-18,1,927.00,169641.00,183.00,183.00,183.00
2010-12-05,1,228.00,41724.00,183.00,183.00,183.00
2010-12-19,1,41.00,6519.00,159.00,159.00,159.00
2011-01-10,1,41.00,6642.00,162.00,162.00,162.00
2011-01-16,1,21.00,3402.00,162.00,162.00,162.00
2011-02-09,1,34.00,4726.00,139.00,139.00,139.00
2011-02-13,5,3359.00,473619.00,141.00,141.00,141.00
2011-02-15,2,1195.00,168495.00,141.00,141.00,141.00
2011-02-16,1,134.00,18894.00,141.00,141.00,141.00
2011-02-17,2,652.00,91932.00,141.00,141.00,141.00
2011-02-20,2,300.00,42300.00,141.00,141.00,141.00
2011-02-21,2,200.00,28600.00,143.00,143.00,143.00
2011-02-22,2,365.00,51565.00,142.00,141.00,141.00
2011-03-07,2,55.00,7755.00,141.00,141.00,141.00
2011-03-09,1,100.00,14100.00,141.00,141.00,141.00
2011-03-10,1,149.00,20711.00,139.00,139.00,139.00
2011-03-14,1,37.00,5180.00,140.00,140.00,140.00
2011-03-17,1,28.00,3920.00,140.00,140.00,140.00
2011-05-22,1,24.00,3360.00,140.00,140.00,140.00
2011-07-14,1,91.00,12922.00,142.00,142.00,142.00
2011-08-23,2,106.00,15052.00,142.00,142.00,142.00
2011-09-07,2,1021.00,140998.00,140.00,138.00,138.00
2011-09-08,3,480.00,65280.00,136.00,136.00,136.00
2011-09-12,2,409.00,54988.00,136.00,134.00,134.00
2011-09-15,1,109.00,14388.00,132.00,132.00,132.00
2011-09-21,2,6374.00,854036.00,134.00,132.00,132.00
2011-09-22,2,484.00,62920.00,130.00,130.00,130.00
2011-10-20,3,928.00,120312.00,130.00,128.00,128.00
2011-10-24,1,657.00,84096.00,128.00,128.00,128.00
2011-11-06,1,116.00,15080.00,130.00,130.00,130.00
2011-11-10,1,34.00,4420.00,130.00,130.00,130.00
2010-04-15,2,20.00,4220.00,213.00,209.00,209.00
2010-04-15,2,20.00,4220.00,213.00,209.00,209.00
2011-12-01,1,49.00,6272.00,128.00,128.00,128.00
2011-12-06,2,87.00,11049.00,127.00,127.00,127.00
2011-12-11,1,46.00,5750.00,125.00,125.00,125.00
2011-12-13,1,107.00,13161.00,123.00,123.00,123.00
2011-12-15,1,456.00,57000.00,125.00,125.00,125.00
