Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price
2010-06-07,3,357720.00,35772020.00,101.00,100.00,100.00
2010-08-05,8,80.00,8000.00,100.00,100.00,100.00
2010-08-08,1,10.00,1000.00,100.00,100.00,100.00
2011-10-24,1,44710.00,4471000.00,100.00,100.00,100.00
2011-10-25,2,29060.00,2906000.00,100.00,100.00,100.00
2011-10-30,2,200.00,19600.00,98.00,98.00,98.00
2011-10-31,5,56120.00,5611890.00,100.00,99.00,100.00
2011-11-03,1,11180.00,1118000.00,100.00,100.00,100.00
2011-11-08,4,9120.00,911680.00,100.00,98.00,100.00
2011-11-10,10,208360.00,20813645.00,100.00,99.00,100.00
2011-11-13,5,460.00,46000.00,100.00,100.00,100.00
2011-11-16,4,5020.00,502000.00,100.00,100.00,100.00
2011-11-17,1,13415.00,1341500.00,100.00,100.00,100.00
2011-11-21,3,44965.00,4496500.00,100.00,100.00,100.00
2011-11-22,3,12180.00,1218000.00,100.00,100.00,100.00
2011-11-23,1,145320.00,14677320.00,101.00,101.00,101.00
2011-12-05,1,30.00,2970.00,99.00,99.00,99.00
2011-12-07,5,240.00,24000.00,100.00,100.00,100.00
2011-12-11,13,8540.00,854000.00,100.00,100.00,100.00
2011-12-13,1,50.00,5000.00,100.00,100.00,100.00
2011-12-14,14,1550.00,155000.00,100.00,100.00,100.00
2011-12-18,5,50.00,5000.00,100.00,100.00,100.00
2012-02-07,2,20.00,1980.00,99.00,99.00,99.00
2012-03-20,3,40.00,3960.00,99.00,99.00,99.00
2012-04-30,8,5730.00,572650.00,100.00,98.00,100.00
2012-07-08,7,13810.00,1381000.00,100.00,100.00,100.00
2012-07-16,1,50.00,5000.00,100.00,100.00,100.00
2012-08-01,2,70.00,6930.00,99.00,99.00,99.00
2012-09-18,1,20.00,2000.00,100.00,100.00,100.00
2013-02-05,2,330.00,32340.00,98.00,98.00,98.00
2013-05-20,2,70.00,6740.00,97.00,96.00,96.00
2013-07-07,5,80.00,7780.00,98.00,97.00,98.00
2013-07-08,6,11240.00,1123940.00,101.00,99.00,100.00
2013-07-09,3,310.00,31000.00,100.00,100.00,100.00
2013-08-01,1,609080.00,60908000.00,100.00,100.00,100.00
2013-08-04,2,120.00,12000.00,100.00,100.00,100.00
2013-08-11,6,150.00,14700.00,98.00,98.00,98.00
2013-10-07,1,400.00,39600.00,99.00,99.00,99.00
2013-10-22,5,70.00,7000.00,100.00,100.00,100.00
2013-10-31,4,40.00,3920.00,98.00,98.00,98.00
2013-12-03,1,100.00,9900.00,99.00,99.00,99.00
2014-03-24,1,60.00,6000.00,100.00,100.00,100.00
2014-03-27,1,59000.00,5900000.00,100.00,100.00,100.00
2014-04-02,1,100.00,10000.00,100.00,100.00,100.00
2014-04-03,9,100.00,10600.00,110.00,102.00,110.00
2014-04-09,1,20.00,2240.00,112.00,112.00,112.00
2014-04-17,2,1020.00,118280.00,116.00,114.00,116.00
2014-04-23,1,100.00,11800.00,118.00,118.00,118.00
2014-04-27,3,400.00,48800.00,124.00,120.00,124.00
2014-04-29,2,1050.00,134300.00,128.00,126.00,128.00
2014-05-08,3,1750.00,232300.00,134.00,130.00,134.00
2014-06-17,3,30.00,4140.00,140.00,136.00,0.00
2014-06-19,1,20.00,2840.00,142.00,142.00,142.00
2014-06-25,5,60.00,8940.00,153.00,144.00,153.00
2014-07-01,1,20.00,3120.00,156.00,156.00,156.00
2014-07-08,5,100.00,16500.00,171.00,159.00,171.00
2014-07-22,4,710.00,124550.00,181.00,174.00,181.00
2014-07-23,2,30.00,5520.00,184.00,184.00,184.00
2014-08-03,1,50.00,9350.00,187.00,187.00,187.00
2014-08-05,2,180.00,34200.00,190.00,190.00,190.00
2014-08-06,1,50.00,9650.00,193.00,193.00,193.00
2014-08-12,2,20.00,3860.00,193.00,193.00,193.00
2014-08-18,2,40.00,7900.00,199.00,196.00,199.00
2014-09-01,1,4470.00,889530.00,199.00,199.00,199.00
2014-09-09,3,60.00,12360.00,210.00,202.00,210.00
2014-09-28,2,70.00,15180.00,218.00,214.00,218.00
2014-09-29,1,500.00,109000.00,218.00,218.00,218.00
