Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price
2010-04-19,4,1502.00,366774.00,245.00,242.00,243.00
2010-04-20,22,5341.00,1313753.00,253.00,235.00,235.00
2010-04-21,4,10485.00,2461465.00,235.00,229.00,229.00
2010-04-22,18,6717.00,1481482.00,225.00,216.00,217.00
2010-04-15,2,162.00,39730.00,249.00,245.00,249.00
2010-04-15,2,162.00,39730.00,249.00,245.00,249.00
2010-04-15,2,162.00,39730.00,249.00,245.00,249.00
2012-04-25,2,600.00,133400.00,225.00,221.00,225.00
2012-04-26,12,2310.00,529990.00,233.00,225.00,225.00
2012-04-29,8,2300.00,505300.00,221.00,218.00,218.00
2012-05-03,1,10.00,2220.00,222.00,222.00,222.00
2012-05-10,9,1052.00,228684.00,221.00,217.00,217.00
2012-05-13,5,620.00,133620.00,217.00,213.00,213.00
2012-05-17,2,569.00,119805.00,213.00,209.00,209.00
2012-05-24,1,20.00,4260.00,213.00,213.00,213.00
2012-06-20,1,1404.00,293436.00,209.00,209.00,209.00
2012-07-01,2,234.00,50726.00,217.00,213.00,217.00
2012-07-02,1,221.00,47957.00,217.00,217.00,217.00
2012-07-03,1,16.00,3472.00,217.00,217.00,217.00
2012-07-17,1,203.00,43239.00,213.00,213.00,213.00
2012-07-31,1,576.00,124992.00,217.00,217.00,217.00
2012-08-01,1,20.00,4260.00,213.00,213.00,213.00
2012-08-21,1,736.00,153824.00,209.00,209.00,209.00
2012-08-22,5,3673.00,737782.00,205.00,194.00,194.00
2012-09-02,4,348.00,64677.00,191.00,182.00,182.00
2012-09-09,1,442.00,81770.00,185.00,185.00,185.00
2012-09-16,1,10.00,1820.00,182.00,182.00,182.00
2012-09-25,2,20.00,3550.00,179.00,176.00,176.00
2012-09-26,3,30.00,5100.00,173.00,167.00,167.00
2012-09-27,2,20.00,3250.00,164.00,161.00,161.00
2012-09-30,2,1080.00,170490.00,158.00,155.00,155.00
2012-10-02,1,20.00,3100.00,155.00,155.00,155.00
2012-10-03,12,2210.00,335890.00,152.00,149.00,149.00
2012-10-07,12,9801.00,1448993.00,153.00,147.00,153.00
2012-10-08,16,8362.00,1269490.00,161.00,150.00,153.00
2012-10-09,8,7701.00,1144133.00,154.00,148.00,150.00
2012-10-10,8,6434.00,945898.00,149.00,147.00,147.00
2012-10-11,6,2528.00,370423.00,147.00,145.00,145.00
2012-10-14,5,2573.00,369214.00,145.00,142.00,143.00
2012-10-17,10,3939.00,570551.00,146.00,144.00,145.00
2012-10-18,5,3090.00,448626.00,146.00,145.00,145.00
2012-10-30,6,3283.00,477355.00,146.00,143.00,146.00
2012-11-01,1,200.00,29000.00,145.00,145.00,145.00
2012-11-04,5,1507.00,218701.00,148.00,143.00,148.00
2012-11-05,2,695.00,100280.00,146.00,144.00,144.00
2012-11-06,9,987.00,147238.00,150.00,146.00,150.00
2012-11-07,5,588.00,95520.00,165.00,153.00,165.00
2012-11-08,5,164.00,28806.00,180.00,168.00,180.00
2012-11-26,5,991.00,171156.00,177.00,170.00,170.00
2012-11-27,1,83.00,13861.00,167.00,167.00,167.00
2012-12-05,1,100.00,17000.00,170.00,170.00,170.00
2012-12-23,1,18.00,3006.00,167.00,167.00,167.00
2012-12-24,3,373.00,59834.00,164.00,158.00,158.00
2012-12-26,2,161.00,25285.00,158.00,155.00,158.00
2012-12-27,2,220.00,34460.00,158.00,155.00,158.00
2012-12-31,2,258.00,39990.00,155.00,155.00,155.00
2013-01-01,2,493.00,76415.00,155.00,155.00,155.00
2013-01-02,5,1361.00,206912.00,154.00,152.00,152.00
2013-01-03,2,1015.00,152250.00,150.00,150.00,150.00
2013-01-07,4,2199.00,332250.00,153.00,150.00,150.00
2013-01-09,1,158.00,23226.00,147.00,147.00,147.00
2013-01-10,1,84.00,12516.00,149.00,149.00,149.00
2013-01-13,2,1159.00,171532.00,148.00,148.00,148.00
2013-01-15,4,2080.00,305840.00,148.00,146.00,148.00
2013-01-24,2,270.00,39200.00,146.00,144.00,144.00
2013-01-27,5,701.00,101065.00,145.00,143.00,145.00
2013-01-31,5,977.00,138327.00,143.00,141.00,141.00
2013-02-03,4,3634.00,508249.00,142.00,139.00,142.00
2013-02-04,1,170.00,23800.00,140.00,140.00,140.00
2013-02-06,3,1795.00,253121.00,143.00,139.00,143.00
2013-02-24,3,233.00,33839.00,146.00,145.00,146.00
2013-02-26,2,2000.00,298000.00,150.00,148.00,150.00
2013-02-27,2,1038.00,156300.00,153.00,150.00,153.00
2013-03-03,9,2276.00,348378.00,156.00,150.00,150.00
2013-03-04,3,300.00,45600.00,152.00,152.00,152.00
2013-03-11,1,160.00,24640.00,154.00,154.00,154.00
2013-03-17,1,253.00,39721.00,157.00,157.00,157.00
2013-03-18,1,300.00,46200.00,154.00,154.00,154.00
2013-04-25,3,881.00,132242.00,152.00,148.00,148.00
2013-05-02,1,200.00,29600.00,148.00,148.00,148.00
2013-05-05,1,100.00,14800.00,148.00,148.00,148.00
2013-05-07,3,417.00,60620.00,148.00,144.00,144.00
2013-05-08,6,1159.00,164314.00,143.00,140.00,140.00
2013-05-09,2,469.00,66562.00,142.00,140.00,142.00
2013-05-12,1,838.00,117320.00,140.00,140.00,140.00
