Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price
2010-04-19,147,7990.00,1968040.00,249.00,237.00,248.00
2010-04-20,167,7430.00,1813360.00,247.00,238.00,245.00
2010-04-21,49,3170.00,782780.00,249.00,241.00,241.00
2010-04-22,79,3700.00,874910.00,244.00,225.00,230.00
2010-04-25,79,4510.00,1046750.00,236.00,226.00,233.00
2010-04-26,66,3310.00,772300.00,235.00,230.00,232.00
2010-04-27,85,4060.00,914850.00,235.00,213.00,217.00
2010-04-28,32,1470.00,307820.00,216.00,204.00,205.00
2010-04-29,17,910.00,194030.00,225.00,205.00,225.00
2010-04-15,70,2800.00,721560.00,263.00,254.00,257.00
2010-05-09,88,4650.00,1035240.00,229.00,220.00,227.00
2010-05-10,38,2190.00,500940.00,234.00,225.00,231.00
2010-05-11,19,800.00,191370.00,242.00,235.00,242.00
2010-05-12,18,1100.00,273700.00,265.00,242.00,265.00
2010-05-13,29,3250.00,936390.00,291.00,270.00,291.00
2010-05-16,94,4410.00,1204900.00,305.00,262.00,267.00
2010-05-17,41,2020.00,515890.00,271.00,242.00,260.00
2010-05-18,37,1510.00,383930.00,276.00,245.00,276.00
2010-05-19,32,1600.00,442970.00,290.00,272.00,290.00
2010-05-20,75,3180.00,933550.00,300.00,285.00,290.00
2010-05-23,45,2110.00,595010.00,286.00,280.00,280.00
2010-05-24,55,3480.00,976630.00,285.00,275.00,282.00
2010-05-25,10,1380.00,386100.00,293.00,272.00,293.00
2010-05-26,33,4490.00,1355700.00,309.00,290.00,291.00
2010-05-30,6,210.00,64630.00,320.00,296.00,320.00
2010-05-31,23,1240.00,405820.00,338.00,308.00,308.00
2010-06-01,56,3400.00,981830.00,312.00,278.00,304.00
2010-06-02,59,2170.00,629270.00,300.00,285.00,300.00
2010-06-03,15,620.00,186250.00,310.00,295.00,300.00
2010-06-06,57,2450.00,725240.00,300.00,289.00,300.00
2010-06-07,36,1690.00,495450.00,298.00,290.00,298.00
2010-06-08,23,1140.00,332260.00,300.00,280.00,293.00
2010-06-09,16,700.00,206920.00,298.00,288.00,298.00
2010-06-10,33,1460.00,433430.00,303.00,294.00,299.00
2010-06-13,44,2440.00,723910.00,300.00,289.00,300.00
2010-06-14,41,2070.00,618280.00,302.00,294.00,299.00
2010-06-15,49,3000.00,892220.00,300.00,295.00,296.00
2010-06-16,57,2500.00,708510.00,295.00,280.00,295.00
2010-06-17,76,3410.00,991100.00,295.00,285.00,285.00
2010-06-20,116,7840.00,2209730.00,289.00,279.00,289.00
2010-06-21,8,440.00,125620.00,289.00,284.00,284.00
2010-06-22,69,3710.00,1056780.00,290.00,270.00,285.00
2010-06-23,45,1950.00,548650.00,285.00,276.00,282.00
2010-06-24,107,7550.00,2154060.00,286.00,280.00,286.00
2010-06-28,45,2240.00,643770.00,290.00,285.00,289.00
2010-06-29,100,6330.00,1758450.00,292.00,271.00,278.00
2010-06-30,22,1130.00,308420.00,277.00,272.00,272.00
2010-07-01,20,1990.00,563600.00,292.00,277.00,285.00
2010-07-04,88,3590.00,1004350.00,289.00,275.00,282.00
2010-07-05,44,1790.00,497890.00,285.00,274.00,274.00
2010-07-06,18,1190.00,322050.00,275.00,268.00,273.00
2010-07-07,72,3140.00,862380.00,285.00,273.00,274.00
2010-07-08,13,380.00,105360.00,279.00,275.00,275.00
2010-07-11,38,840.00,232600.00,280.00,275.00,275.00
2010-07-12,19,450.00,123750.00,275.00,275.00,275.00
2010-07-13,5,220.00,59500.00,275.00,270.00,275.00
2010-07-14,6,270.00,74400.00,277.00,275.00,277.00
2010-07-15,2,100.00,28040.00,282.00,280.00,280.00
2010-07-18,59,2670.00,748160.00,285.00,276.00,285.00
2010-07-19,24,3850.00,1048700.00,280.00,269.00,275.00
2010-07-20,24,2120.00,579060.00,276.00,271.00,275.00
2010-07-21,55,2990.00,812370.00,275.00,269.00,275.00
2010-07-22,17,690.00,189360.00,282.00,272.00,278.00
2010-07-25,34,1220.00,338170.00,281.00,269.00,269.00
2010-07-26,20,460.00,122560.00,270.00,266.00,270.00
2010-07-27,6,120.00,31920.00,270.00,265.00,265.00
2010-07-28,49,1060.00,284080.00,274.00,266.00,271.00
2010-07-29,15,560.00,149980.00,271.00,266.00,271.00
2010-08-01,19,1160.00,310190.00,271.00,267.00,270.00
2010-08-02,8,350.00,93720.00,270.00,265.00,270.00
2010-08-03,29,2000.00,546440.00,275.00,263.00,263.00
2010-08-04,41,1620.00,433560.00,268.00,263.00,268.00
2010-08-05,78,2400.00,653000.00,273.00,263.00,264.00
